"Viewer version","2.91"
"Measure start time","25 July 2023 13:53:34"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"2771","190.2339","0.648"
"2772","190.2820","0.652"
"2773","190.3458","0.633"
"2774","190.4099","0.652"
"2775","190.4738","0.667"
"2776","190.5378","0.648"
"2777","190.6017","0.659"
"2778","190.6657","0.659"
"2779","190.7616","0.659"
"2780","190.8256","0.626"
"2781","190.8896","0.637"
"2782","190.9536","0.626"
"2783","191.0336","0.633"
"2784","191.1296","0.633"
"2785","191.1775","0.648"
"2786","191.2255","0.644"
"2787","191.3214","0.656"
"2788","191.3694","0.641"
"2789","191.4653","0.648"
"2790","191.5134","0.633"
"2791","191.6093","0.641"
"2792","191.6413","0.644"
"2793","191.7052","0.641"
"2794","191.7692","0.641"
"2795","191.8332","0.644"
"2796","191.9292","0.656"
"2797","191.9931","0.648"
"2798","192.0571","0.667"
"2799","192.1211","0.637"
"2800","192.1851","0.652"
"2801","192.2492","0.648"
"2802","192.3450","0.641"
"2803","192.4250","0.648"
"2804","192.4730","0.644"
"2805","192.5689","0.644"
"2806","192.6169","0.633"
"2807","192.6649","0.656"
"2808","192.7609","0.630"
"2809","192.7929","0.656"
"2810","192.8568","0.656"
"2811","192.9527","0.637"
"2812","193.0167","0.667"
"2813","193.0808","0.630"
"2814","193.1447","0.663"
"2815","193.2086","0.630"
"2816","193.3046","0.648"
"2817","193.3686","0.630"
"2818","193.4326","0.641"
"2819","193.4965","0.633"
"2820","193.5605","0.648"
"2821","193.6245","0.681"
"2822","193.6884","0.637"
"2823","193.7844","0.659"
"2824","193.8645","0.626"
"2825","193.8964","0.674"
"2826","193.9763","0.637"
"2827","194.0723","0.626"
"2828","194.1203","0.670"
"2829","194.2164","0.663"
"2830","194.2642","0.637"
"2831","194.3122","0.659"
"2832","194.4082","0.652"
"2833","194.4561","0.663"
"2834","194.5201","0.648"
"2835","194.5840","0.659"
"2836","194.6480","0.656"
"2837","194.7120","0.648"
"2838","194.8079","0.633"
"2839","194.8719","0.674"
"2840","194.9359","0.648"
"2841","194.9999","0.652"
"2842","195.0639","0.656"
"2843","195.1598","0.644"
"2844","195.2078","0.641"
"2845","195.3038","0.630"
"2846","195.3518","0.667"
"2847","195.4478","0.626"
"2848","195.4957","0.663"
"2849","195.5920","0.630"
"2850","195.6397","0.670"
"2851","195.6877","0.663"
"2852","195.7836","0.652"
"2853","195.8316","0.652"
"2854","195.9276","0.663"
"2855","195.9756","0.681"
"2856","196.0555","0.681"
"2857","196.0875","0.681"
"2858","196.1835","0.670"
"2859","196.2474","0.667"
"2860","196.3114","0.678"
"2861","196.3754","0.652"
"2862","196.4393","0.659"
"2863","196.5033","0.644"
"2864","196.5993","0.648"
"2865","196.6633","0.641"
"2866","196.7272","0.641"
"2867","196.7912","0.663"
"2868","196.8552","0.641"
"2869","196.9511","0.659"
"2870","196.9992","0.641"
"2871","197.0951","0.663"
"2872","197.1271","0.644"
"2873","197.1911","0.663"
"2874","197.2550","0.663"
"2875","197.3190","0.637"
"2876","197.4150","0.674"
"2877","197.4790","0.641"
"2878","197.5430","0.659"
"2879","197.6070","0.648"
"2880","197.6710","0.648"
"2881","197.7670","0.656"
"2882","197.8149","0.644"
"2883","197.9109","0.641"
"2884","197.9588","0.641"
"2885","198.0547","0.667"
"2886","198.0867","0.656"
"2887","198.1508","0.656"
"2888","198.2148","0.667"
"2889","198.3107","0.656"
"2890","198.3747","0.670"
"2891","198.4387","0.656"
"2892","198.5026","0.685"
"2893","198.5666","0.659"
"2894","198.6306","0.674"
"2895","198.7266","0.659"
"2896","198.7905","0.678"
"2897","198.8545","0.644"
"2898","198.9345","0.652"
"2899","198.9825","0.648"
"2900","199.0784","0.648"
"2901","199.1264","0.633"
"2902","199.2224","0.641"
"2903","199.2703","0.633"
"2904","199.3663","0.644"
"2905","199.4143","0.641"
"2906","199.4623","0.637"
"2907","199.5262","0.641"
"2908","199.5902","0.644"
"2909","199.6542","0.648"
"2910","199.7502","0.648"
