"Viewer version","2.91"
"Measure start time","24 July 2023 14:57:58"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"73","5.0855","6.404"
"74","5.1820","6.493"
"75","5.2300","6.422"
"76","5.3254","6.489"
"77","5.3733","6.422"
"78","5.4223","6.489"
"79","5.4854","6.448"
"80","5.5493","6.459"
"81","5.6454","6.441"
"82","5.6936","6.459"
"83","5.7743","6.467"
"84","5.8693","6.452"
"85","5.9171","6.459"
"86","6.0131","6.463"
"87","6.0452","6.481"
"88","6.1090","6.478"
"89","6.1731","6.463"
"90","6.2371","6.419"
"91","6.3011","6.504"
"92","6.3968","6.448"
"93","6.4607","6.519"
"94","6.5247","6.422"
"95","6.6207","6.511"
"96","6.6688","6.400"
"97","6.7646","6.489"
"98","6.8125","6.441"
"99","6.8605","6.467"
"100","6.9404","6.452"
"101","7.0044","6.478"
"102","7.0685","6.456"
"103","7.1324","6.419"
"104","7.1964","6.444"
"105","7.2603","6.437"
"106","7.3563","6.463"
"107","7.4202","6.459"
"108","7.4841","6.481"
"109","7.5481","6.448"
"110","7.6120","6.474"
"111","7.6922","6.444"
"112","7.7881","6.485"
"113","7.8360","6.467"
"114","7.9160","6.474"
"115","7.9480","6.467"
"116","8.0120","6.441"
"117","8.1078","6.426"
"118","8.1719","6.474"
"119","8.2358","6.459"
"120","8.2998","6.426"
"121","8.3637","6.437"
"122","8.4277","6.507"
"123","8.5238","6.426"
"124","8.6038","6.504"
"125","8.6518","6.415"
"126","8.7480","6.493"
"127","8.7955","6.407"
"128","8.8595","6.489"
"129","8.9238","6.433"
"130","8.9874","6.426"
"131","9.0514","6.485"
"132","9.1153","6.437"
"133","9.2115","6.500"
"134","9.2754","6.407"
"135","9.3553","6.496"
"136","9.4036","6.407"
"137","9.4991","6.437"
"138","9.5471","6.463"
"139","9.6111","6.426"
"140","9.6750","6.470"
"141","9.7391","6.415"
"142","9.8030","6.456"
"143","9.8669","6.411"
"144","9.9629","6.430"
"145","10.0269","6.448"
"146","10.0908","6.407"
"147","10.1868","6.470"
"148","10.2348","6.393"
"149","10.3308","6.422"
"150","10.3787","6.378"
"151","10.4267","6.489"
"152","10.5066","6.411"
"153","10.5706","6.422"
"154","10.6345","6.426"
"155","10.6985","6.459"
"156","10.7625","6.415"
"157","10.8266","6.393"
"158","10.9225","6.474"
"159","10.9864","6.415"
"160","11.0503","6.474"
"161","11.1305","6.422"
"162","11.1787","6.448"
"163","11.2742","6.433"
"164","11.3062","6.422"
"165","11.3862","6.519"
"166","11.4502","6.404"
"167","11.5141","6.430"
"168","11.5784","6.444"
"169","11.6740","6.456"
"170","11.7380","6.433"
"171","11.8021","6.433"
"172","11.8820","6.459"
"173","11.9299","6.393"
"174","12.0259","6.437"
"175","12.0739","6.441"
"176","12.1700","6.448"
"177","12.2178","6.470"
"178","12.3138","6.422"
"179","12.3618","6.448"
"180","12.4577","6.426"
"181","12.4897","6.467"
"182","12.5536","6.437"
"183","12.6176","6.415"
"184","12.6816","6.456"
"185","12.7455","6.426"
"186","12.8415","6.444"
"187","12.9055","6.433"
"188","12.9695","6.467"
"189","13.0334","6.393"
"190","13.0974","6.437"
"191","13.1777","6.448"
"192","13.2577","6.415"
"193","13.3053","6.433"
"194","13.4013","6.407"
"195","13.4336","6.433"
"196","13.4972","6.404"
"197","13.5932","6.467"
"198","13.6571","6.367"
"199","13.7211","6.415"
"200","13.7852","6.422"
"201","13.8491","6.430"
"202","13.9130","6.426"
"203","14.0092","6.426"
"204","14.0732","6.396"
"205","14.1531","6.404"
"206","14.2341","6.407"
"207","14.2809","6.385"
"208","14.3289","6.419"
"209","14.4249","6.393"
"210","14.4732","6.430"
"211","14.5694","6.367"
"212","14.6168","6.411"
"213","14.6819","6.370"
"214","14.7458","6.389"
"215","14.8087","6.411"
"216","14.8727","6.378"
"217","14.9686","6.411"
"218","15.0325","6.411"
"219","15.0968","6.426"
"220","15.1605","6.415"
"221","15.2244","6.419"
"222","15.2896","6.444"
"223","15.3846","6.452"
"224","15.4330","6.419"
"225","15.5284","6.426"
"226","15.5763","6.422"
"227","15.6563","6.411"
"228","15.7208","6.426"
"229","15.7842","6.378"
"230","15.8481","6.441"
"231","15.9121","6.419"
"232","15.9761","6.430"
"233","16.0400","6.411"
"234","16.1360","6.430"
"235","16.2000","6.411"
"236","16.2800","6.356"
"237","16.3440","6.422"
"238","16.4240","6.389"
"239","16.4719","6.415"
"240","16.5678","6.400"
"241","16.6158","6.452"
"242","16.6638","6.411"
"243","16.7598","6.456"
"244","16.8078","6.426"
"245","16.9037","6.419"
"246","16.9517","6.422"
"247","17.0157","6.430"
"248","17.0796","6.426"
"249","17.1436","6.426"
"250","17.2075","6.415"
"251","17.2717","6.444"
"252","17.3675","6.404"
"253","17.4315","6.430"
"254","17.4954","6.430"
"255","17.5594","6.422"
"256","17.6235","6.522"
"257","17.6873","6.515"
"258","17.7832","6.478"
"259","17.8313","6.422"
"260","17.9112","6.459"
"261","18.0072","6.404"
"262","18.0551","6.393"
"263","18.1031","6.407"
"264","18.1991","6.400"
"265","18.2470","6.433"
"266","18.3430","6.419"
"267","18.3910","6.374"
"268","18.4869","6.430"
"269","18.5349","6.415"
"270","18.5989","6.393"
"271","18.6628","6.433"
"272","18.7267","6.370"
"273","18.7907","6.396"
"274","18.8547","6.404"
"275","18.9186","6.441"
"276","19.0147","6.396"
"277","19.0789","6.444"
"278","19.1430","6.374"
"279","19.2067","6.396"
"280","19.2871","6.426"
"281","19.3347","6.426"
"282","19.4307","6.389"
"283","19.4788","6.385"
"284","19.5424","6.404"
"285","19.6064","6.389"
"286","19.6703","6.407"
"287","19.7663","6.452"
"288","19.8303","6.363"
"289","19.8942","6.400"
"290","19.9585","6.359"
"291","20.0544","6.433"
"292","20.1032","6.381"
"293","20.1982","6.378"
"294","20.2301","6.448"
"295","20.2941","6.370"
"296","20.3580","6.422"
"297","20.4540","6.393"
"298","20.5180","6.441"
"299","20.5821","6.363"
"300","20.6460","6.411"
"301","20.7259","6.359"
"302","20.8219","6.404"
"303","20.8710","6.363"
"304","20.9018","6.407"
"305","20.9978","6.381"
"306","21.0619","6.378"
"307","21.1258","6.396"
"308","21.1897","6.370"
"309","21.2539","6.344"
"310","21.3498","6.363"
"311","21.3986","6.367"
"312","21.4938","6.374"
"313","21.5257","6.330"
"314","21.5897","6.344"
"315","21.6856","6.359"
"316","21.7498","6.337"
"317","21.8135","6.344"
"318","21.8775","6.352"
"319","21.9415","6.419"
