"Viewer version","2.91"
"Measure start time","25 July 2023 11:28:38"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"5696","390.4402","0.141"
"5697","390.4877","0.156"
"5698","390.5837","0.163"
"5699","390.6316","0.144"
"5700","390.6956","0.152"
"5701","390.7595","0.148"
"5702","390.8235","0.152"
"5703","390.9203","0.181"
"5704","390.9994","0.141"
"5705","391.0318","0.130"
"5706","391.1280","0.178"
"5707","391.1755","0.119"
"5708","391.2392","0.167"
"5709","391.3032","0.115"
"5710","391.3993","0.174"
"5711","391.4631","0.126"
"5712","391.5271","0.163"
"5713","391.5912","0.141"
"5714","391.6883","0.163"
"5715","391.7356","0.156"
"5716","391.8162","0.152"
"5717","391.8473","0.152"
"5718","391.9429","0.148"
"5719","392.0069","0.133"
"5720","392.0712","0.133"
"5721","392.1347","0.178"
"5722","392.1988","0.111"
"5723","392.2947","0.185"
"5724","392.3747","0.130"
"5725","392.4227","0.163"
"5726","392.5186","0.144"
"5727","392.5665","0.163"
"5728","392.6145","0.152"
"5729","392.6786","0.126"
"5730","392.7425","0.159"
"5731","392.8064","0.141"
"5732","392.9023","0.148"
"5733","392.9663","0.144"
"5734","393.0303","0.137"
"5735","393.0942","0.141"
"5736","393.1583","0.137"
"5737","393.2542","0.156"
"5738","393.3182","0.130"
"5739","393.3822","0.126"
"5740","393.4620","0.193"
"5741","393.5100","0.093"
"5742","393.6059","0.170"
"5743","393.6379","0.126"
"5744","393.7019","0.170"
"5745","393.7658","0.137"
"5746","393.8618","0.148"
"5747","393.9257","0.148"
"5748","393.9896","0.096"
"5749","394.0536","0.204"
"5750","394.1176","0.111"
"5751","394.2136","0.156"
"5752","394.2776","0.144"
"5753","394.3415","0.115"
"5754","394.4215","0.156"
"5755","394.4695","0.093"
"5756","394.5654","0.159"
"5757","394.6134","0.089"
"5758","394.7095","0.178"
"5759","394.7573","0.041"
"5760","394.8372","0.237"
"5761","394.8692","0.044"
"5762","394.9332","0.189"
"5763","395.0292","0.107"
"5764","395.0931","0.100"
"5765","395.1571","0.196"
"5766","395.2210","0.059"
"5767","395.2850","0.241"
"5768","395.3810","0.048"
"5769","395.4609","0.244"
"5770","395.5089","0.059"
"5771","395.6049","0.167"
"5772","395.6528","0.133"
"5773","395.7008","0.115"
"5774","395.7968","0.167"
"5775","395.8448","0.096"
"5776","395.9407","0.170"
"5777","395.9886","0.122"
"5778","396.0686","0.141"
"5779","396.1006","0.156"
"5780","396.1965","0.107"
"5781","396.2605","0.163"
"5782","396.3245","0.089"
"5783","396.3885","0.156"
"5784","396.4524","0.100"
"5785","396.5164","0.170"
"5786","396.6123","0.122"
"5787","396.6922","0.144"
"5788","396.7403","0.130"
"5789","396.8361","0.119"
"5790","396.8842","0.159"
"5791","396.9324","0.104"
"5792","397.0285","0.156"
"5793","397.0761","0.104"
"5794","397.1402","0.130"
"5795","397.2041","0.115"
"5796","397.2685","0.122"
"5797","397.3645","0.130"
"5798","397.4119","0.126"
"5799","397.4759","0.152"
"5800","397.5718","0.148"
"5801","397.6357","0.141"
"5802","397.6997","0.163"
"5803","397.7796","0.115"
"5804","397.8277","0.159"
"5805","397.9235","0.115"
"5806","397.9717","0.159"
"5807","398.0355","0.111"
"5808","398.0995","0.122"
"5809","398.1634","0.119"
"5810","398.2594","0.144"
"5811","398.3233","0.115"
"5812","398.3873","0.141"
"5813","398.4673","0.104"
"5814","398.5472","0.144"
"5815","398.5952","0.119"
"5816","398.6911","0.133"
"5817","398.7391","0.107"
"5818","398.8030","0.130"
"5819","398.8670","0.119"
"5820","398.9310","0.111"
"5821","398.9949","0.152"
"5822","399.0589","0.107"
"5823","399.1229","0.148"
"5824","399.2188","0.130"
"5825","399.2828","0.156"
"5826","399.3467","0.133"
"5827","399.4107","0.167"
"5828","399.4907","0.141"
"5829","399.5387","0.152"
"5830","399.6347","0.167"
"5831","399.6827","0.163"
"5832","399.7625","0.148"
"5833","399.8265","0.152"
"5834","399.8905","0.148"
"5835","399.9546","0.167"
"5836","400.0184","0.148"
"5837","400.0824","0.159"
"5838","400.1794","0.137"
"5839","400.2425","0.141"
"5840","400.3074","0.144"
"5841","400.4025","0.133"
"5842","400.4510","0.126"
"5843","400.5462","0.148"
"5844","400.5944","0.141"
"5845","400.6422","0.144"
"5846","400.7061","0.133"
"5847","400.7701","0.156"
"5848","400.8344","0.115"
"5849","400.9310","0.141"
"5850","401.0101","0.137"
"5851","401.0583","0.141"
"5852","401.1540","0.144"
"5853","401.2020","0.122"
"5854","401.2659","0.130"
"5855","401.3299","0.122"
"5856","401.3940","0.144"
"5857","401.4578","0.126"
"5858","401.5218","0.130"
"5859","401.6181","0.137"
"5860","401.6658","0.126"
"5861","401.7460","0.122"
"5862","401.8417","0.130"
"5863","401.8898","0.119"
"5864","401.9856","0.144"
"5865","402.0336","0.130"
"5866","402.0815","0.115"
"5867","402.1775","0.137"
"5868","402.2095","0.126"
"5869","402.2735","0.119"
"5870","402.3695","0.130"
"5871","402.4334","0.141"
"5872","402.4974","0.104"
"5873","402.5614","0.133"
"5874","402.6253","0.152"
"5875","402.7213","0.133"
"5876","402.8012","0.148"
"5877","402.8492","0.137"
"5878","402.9452","0.167"
"5879","402.9936","0.126"
"5880","403.0413","0.159"
"5881","403.1211","0.144"
"5882","403.1854","0.141"
"5883","403.2494","0.144"
"5884","403.3134","0.148"
"5885","403.3931","0.159"
"5886","403.4570","0.141"
"5887","403.5210","0.137"
"5888","403.5850","0.144"
"5889","403.6809","0.152"
"5890","403.7452","0.141"
"5891","403.8096","0.144"
"5892","403.9052","0.156"
"5893","403.9534","0.141"
"5894","404.0009","0.163"
"5895","404.0968","0.163"
"5896","404.1447","-0.344"
"5897","404.2246","0.637"
"5898","404.2886","-0.044"
"5899","404.3526","0.304"
"5900","404.4168","0.174"
"5901","404.4968","-0.096"
"5902","404.5447","0.485"
"5903","404.6407","-0.304"
"5904","404.6885","0.604"
"5905","404.7848","-0.289"
"5906","404.8324","0.459"
"5907","404.8964","-0.130"
"5908","404.9603","0.285"
"5909","405.0244","0.070"
"5910","405.0883","0.104"
"5911","405.1843","0.237"
"5912","405.2482","0.000"
"5913","405.3122","0.289"
"5914","405.3762","0.019"
"5915","405.4401","0.222"
"5916","405.5041","0.111"
"5917","405.6001","0.122"
"5918","405.6642","0.193"
"5919","405.7280","0.089"
"5920","405.8081","0.204"
"5921","405.8560","0.137"
"5922","405.9518","0.207"
"5923","405.9999","0.144"
"5924","406.0799","0.074"
"5925","406.1438","0.304"
"5926","406.2078","-0.026"
"5927","406.2718","0.356"
"5928","406.3357","-0.037"
"5929","406.3996","0.330"
"5930","406.4637","0.019"
"5931","406.5596","0.256"
"5932","406.6236","0.063"
"5933","406.6875","0.230"
"5934","406.7674","0.104"
"5935","406.8155","0.207"
"5936","406.9114","0.096"
"5937","406.9594","0.226"
"5938","407.0233","0.085"
"5939","407.0873","0.211"
"5940","407.1513","0.078"
"5941","407.2153","0.189"
"5942","407.3112","0.096"
"5943","407.3752","0.178"
"5944","407.4392","0.104"
"5945","407.5192","0.170"
"5946","407.5990","0.119"
"5947","407.6311","0.144"
"5948","407.7270","0.137"
"5949","407.7590","0.133"
"5950","407.8549","0.126"
"5951","407.9189","0.144"
"5952","407.9828","0.144"
"5953","408.0471","0.122"
"5954","408.1108","0.181"
"5955","408.2072","0.078"
"5956","408.2711","0.207"
"5957","408.3508","0.063"
"5958","408.4307","0.211"
"5959","408.4787","0.070"
"5960","408.5267","0.178"
"5961","408.6070","0.078"
"5962","408.6866","0.170"
"5963","408.7509","0.078"
"5964","408.8146","0.144"
"5965","408.8785","0.093"
"5966","408.9425","0.185"
"5967","409.0065","0.100"
"5968","409.0705","0.144"
"5969","409.1664","0.074"
"5970","409.2304","0.156"
"5971","409.2783","0.074"
"5972","409.3585","0.163"
"5973","409.4547","0.067"
"5974","409.5027","0.148"
"5975","409.5982","0.107"
"5976","409.6462","0.141"
"5977","409.7101","0.033"
"5978","409.7741","-0.067"
"5979","409.8381","0.044"
"5980","409.9023","0.081"
"5981","409.9664","0.074"
"5982","410.0464","0.107"
"5983","410.1424","0.100"
"5984","410.1901","0.126"
"5985","410.2859","0.093"
"5986","410.3339","0.130"
"5987","410.3820","0.126"
"5988","410.4778","0.093"
"5989","410.5260","0.148"
"5990","410.6221","0.100"
"5991","410.6542","0.156"
"5992","410.7180","0.089"
"5993","410.7817","0.152"
"5994","410.8777","0.100"
"5995","410.9418","0.144"
"5996","411.0056","0.096"
"5997","411.0696","0.163"
"5998","411.1335","0.096"
"5999","411.1976","0.178"
"6000","411.2775","0.085"
"6001","411.3738","0.174"
"6002","411.4213","0.074"
"6003","411.5014","0.167"
"6004","411.5333","0.085"
"6005","411.6293","0.148"
"6006","411.6933","0.119"
"6007","411.7573","0.126"
"6008","411.8212","0.107"
