"Viewer version","2.91"
"Measure start time","25 July 2023 15:21:38"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"5260","360.7753","0.441"
"5261","360.8393","0.378"
"5262","360.9036","0.389"
"5263","360.9833","0.404"
"5264","361.0473","0.411"
"5265","361.1272","0.374"
"5266","361.2232","0.370"
"5267","361.2551","0.459"
"5268","361.3191","0.337"
"5269","361.3831","0.444"
"5270","361.4790","0.411"
"5271","361.5430","0.485"
"5272","361.6070","0.367"
"5273","361.6711","0.493"
"5274","361.7349","0.196"
"5275","361.7989","0.470"
"5276","361.8628","0.307"
"5277","361.9589","0.470"
"5278","362.0227","0.285"
"5279","362.1187","0.400"
"5280","362.1667","0.456"
"5281","362.2147","0.304"
"5282","362.3106","0.319"
"5283","362.3586","0.452"
"5284","362.4546","0.337"
"5285","362.4865","0.263"
"5286","362.5505","0.474"
"5287","362.6146","0.356"
"5288","362.7106","0.307"
"5289","362.7756","0.393"
"5290","362.8390","0.415"
"5291","362.9024","0.337"
"5292","362.9833","0.430"
"5293","363.0782","0.381"
"5294","363.1262","0.415"
"5295","363.1741","0.330"
"5296","363.2707","0.463"
"5297","363.3181","0.278"
"5298","363.4140","0.426"
"5299","363.4620","0.356"
"5300","363.5430","0.426"
"5301","363.6060","0.293"
"5302","363.6699","0.448"
"5303","363.7340","0.374"
"5304","363.7979","0.337"
"5305","363.8618","0.422"
"5306","363.9258","0.367"
"5307","364.0217","0.378"
"5308","364.0858","0.370"
"5309","364.1338","0.456"
"5310","364.2304","0.300"
"5311","364.2778","0.433"
"5312","364.3576","0.370"
"5313","364.4216","0.407"
"5314","364.4855","0.359"
"5315","364.5495","0.407"
"5316","364.6137","0.363"
"5317","364.6774","0.400"
"5318","364.7734","0.370"
"5319","364.8374","0.396"
"5320","364.9017","0.367"
"5321","364.9816","0.407"
"5322","365.0295","0.374"
"5323","365.1252","0.419"
"5324","365.1732","0.341"
"5325","365.2692","0.385"
"5326","365.3173","0.396"
"5327","365.3815","0.363"
"5328","365.4451","0.378"
"5329","365.5091","0.344"
"5330","365.5730","0.433"
"5331","365.6373","0.348"
"5332","365.7330","0.385"
"5333","365.7970","0.333"
"5334","365.8770","0.459"
"5335","365.9249","0.337"
"5336","366.0209","0.315"
"5337","366.0529","0.385"
"5338","366.1168","0.389"
"5339","366.1808","0.333"
"5340","366.2767","0.356"
"5341","366.3408","0.419"
"5342","366.4047","0.344"
"5343","366.4687","0.356"
"5344","366.5327","0.378"
"5345","366.5967","0.356"
"5346","366.6926","0.367"
"5347","366.7566","0.381"
"5348","366.8206","0.381"
"5349","366.8845","0.378"
"5350","366.9485","0.378"
"5351","367.0444","0.367"
"5352","367.0924","0.404"
"5353","367.1884","0.393"
"5354","367.2365","0.341"
"5355","367.3002","0.504"
"5356","367.3642","0.404"
"5357","367.4282","0.419"
"5358","367.4922","0.393"
"5359","367.5881","0.422"
"5360","367.6521","0.348"
"5361","367.7321","0.415"
"5362","367.7801","0.367"
"5363","367.8760","0.367"
"5364","367.9240","0.426"
"5365","368.0199","0.337"
"5366","368.0680","0.359"
"5367","368.0999","0.367"
"5368","368.1958","0.381"
"5369","368.2598","0.341"
"5370","368.3238","0.367"
"5371","368.3878","0.341"
"5372","368.4517","0.385"
"5373","368.5477","0.363"
"5374","368.6116","0.356"
"5375","368.6596","0.389"
"5376","368.7396","0.374"
"5377","368.8196","0.363"
"5378","368.8683","0.378"
"5379","368.9636","0.400"
"5380","369.0116","0.370"
"5381","369.0758","0.381"
"5382","369.1397","0.363"
"5383","369.2035","0.356"
"5384","369.2993","0.378"
"5385","369.3633","0.359"
"5386","369.4274","0.370"
"5387","369.5243","0.415"
"5388","369.5714","0.367"
"5389","369.6683","0.333"
"5390","369.6992","0.385"
"5391","369.7632","0.385"
"5392","369.8272","0.341"
"5393","369.8911","0.367"
"5394","369.9870","0.378"
"5395","370.0510","0.363"
"5396","370.1309","0.370"
"5397","370.1789","0.363"
"5398","370.2751","0.374"
"5399","370.3230","0.393"
"5400","370.3869","0.337"
"5401","370.4519","0.356"
"5402","370.5159","0.400"
"5403","370.5789","0.348"
"5404","370.6748","0.348"
"5405","370.7239","0.385"
"5406","370.8187","0.356"
"5407","370.8666","0.337"
"5408","370.9635","0.411"
"5409","371.0110","0.330"
"5410","371.0746","0.341"
"5411","371.1386","0.381"
"5412","371.2026","0.374"
"5413","371.2835","0.337"
"5414","371.3624","0.337"
"5415","371.4107","0.348"
"5416","371.5062","0.367"
"5417","371.5542","0.356"
"5418","371.6501","0.311"
"5419","371.6821","0.352"
"5420","371.7464","0.389"
"5421","371.8101","0.326"
"5422","371.9072","0.359"
"5423","371.9700","0.396"
"5424","372.0503","0.330"
"5425","372.0979","0.374"
"5426","372.1938","0.367"
"5427","372.2418","0.352"
"5428","372.3218","0.370"
"5429","372.3537","0.426"
"5430","372.4497","0.341"
"5431","372.5137","0.367"
"5432","372.5776","0.415"
"5433","372.6417","0.326"
"5434","372.7056","0.352"
"5435","372.8015","0.393"
"5436","372.8655","0.311"
"5437","372.9294","0.359"
"5438","373.0254","0.422"
"5439","373.0734","0.330"
"5440","373.1214","0.330"
"5441","373.2174","0.437"
"5442","373.2653","0.359"
"5443","373.3613","0.322"
"5444","373.4092","0.415"
"5445","373.5052","0.367"
"5446","373.5532","0.333"
"5447","373.6172","0.381"
"5448","373.6813","0.389"
"5449","373.7450","0.337"
"5450","373.8090","0.404"
"5451","373.8730","0.393"
"5452","373.9690","0.319"
"5453","374.0329","0.381"
"5454","374.0969","0.396"
"5455","374.1929","0.326"
"5456","374.2408","0.374"
"5457","374.2888","0.400"
"5458","374.3848","0.333"
"5459","374.4328","0.344"
"5460","374.5287","0.411"
"5461","374.5767","0.344"
"5462","374.6726","0.337"
"5463","374.7205","0.374"
"5464","374.7845","0.352"
"5465","374.8485","0.326"
"5466","374.9125","0.352"
"5467","374.9765","0.341"
"5468","375.0405","0.337"
"5469","375.1044","0.393"
"5470","375.2004","0.333"
"5471","375.2647","0.344"
"5472","375.3283","0.407"
"5473","375.3923","0.385"
"5474","375.4562","0.319"
"5475","375.5202","0.400"
"5476","375.6162","0.389"
"5477","375.6802","0.330"
"5478","375.7603","0.367"
"5479","375.8084","0.407"
"5480","375.9040","0.330"
"5481","375.9522","0.381"
"5482","376.0321","0.396"
"5483","376.0641","0.348"
"5484","376.1599","0.393"
"5485","376.2239","0.400"
"5486","376.2879","0.352"
"5487","376.3518","0.356"
"5488","376.4158","0.419"
"5489","376.4798","0.374"
"5490","376.5759","0.359"
"5491","376.6238","0.411"
"5492","376.7199","0.426"
"5493","376.7678","0.367"
"5494","376.8316","0.411"
"5495","376.8956","0.363"
"5496","376.9596","0.370"
"5497","377.0236","0.404"
"5498","377.1197","0.407"
"5499","377.1998","0.337"
"5500","377.2798","0.352"
"5501","377.3275","0.352"
"5502","377.3754","0.407"
"5503","377.4715","0.433"
"5504","377.5034","0.374"
"5505","377.5993","0.367"
"5506","377.6633","0.415"
"5507","377.7273","0.456"
"5508","377.7913","0.381"
"5509","377.8552","0.396"
"5510","377.9192","0.404"
"5511","378.0151","0.415"
"5512","378.0791","0.300"
"5513","378.1431","0.437"
"5514","378.2231","0.407"
"5515","378.2711","0.337"
"5516","378.3510","0.393"
"5517","378.4469","0.404"
"5518","378.4949","0.385"
"5519","378.5429","0.367"
"5520","378.6388","0.404"
"5521","378.6869","0.352"
"5522","378.7830","0.400"
"5523","378.8152","0.359"
"5524","378.8787","0.333"
"5525","378.9430","0.367"
"5526","379.0388","0.437"
"5527","379.1027","0.333"
"5528","379.1667","0.300"
"5529","379.2309","0.404"
"5530","379.2946","0.385"
"5531","379.3908","0.307"
"5532","379.4707","0.356"
"5533","379.5190","0.411"
"5534","379.6145","0.348"
"5535","379.6625","0.344"
"5536","379.7105","0.422"
"5537","379.8065","0.344"
