"Viewer version","2.91"
"Measure start time","25 July 2023 15:03:00"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"9417","645.2800","0.170"
"9418","645.3440","0.152"
"9419","645.4399","0.159"
"9420","645.5041","0.156"
"9421","645.5685","0.174"
"9422","645.6325","0.144"
"9423","645.6957","0.163"
"9424","645.7597","0.174"
"9425","645.8557","0.141"
"9426","645.9196","0.170"
"9427","645.9836","0.159"
"9428","646.0795","0.156"
"9429","646.1275","0.148"
"9430","646.1754","0.185"
"9431","646.2714","0.163"
"9432","646.3194","0.141"
"9433","646.4154","0.163"
"9434","646.4633","0.144"
"9435","646.5593","0.152"
"9436","646.6072","0.152"
"9437","646.6712","0.152"
"9438","646.7351","0.167"
"9439","646.7991","0.174"
"9440","646.8631","0.163"
"9441","646.9270","0.167"
"9442","646.9910","0.167"
"9443","647.0870","0.174"
"9444","647.1509","0.163"
"9445","647.2149","0.167"
"9446","647.2789","0.163"
"9447","647.3428","0.159"
"9448","647.4067","0.156"
"9449","647.4709","0.185"
"9450","647.5667","0.133"
"9451","647.6307","0.148"
"9452","647.6947","0.181"
"9453","647.7586","0.174"
"9454","647.8226","0.126"
"9455","647.8865","0.159"
"9456","647.9667","0.167"
"9457","648.0625","0.141"
"9458","648.1104","0.141"
"9459","648.2069","0.174"
"9460","648.2543","0.170"
"9461","648.3023","0.148"
"9462","648.3982","0.152"
"9463","648.4462","0.152"
"9464","648.5102","0.178"
"9465","648.5742","0.137"
"9466","648.6382","0.167"
"9467","648.7341","0.156"
"9468","648.7980","0.193"
"9469","648.8620","0.141"
"9470","648.9261","0.178"
"9471","649.0218","0.144"
"9472","649.0700","0.196"
"9473","649.1499","0.152"
"9474","649.1818","0.170"
"9475","649.2777","0.163"
"9476","649.3420","0.170"
"9477","649.4378","0.152"
"9478","649.4868","0.159"
"9479","649.5815","0.170"
"9480","649.6295","0.159"
"9481","649.6782","0.152"
"9482","649.7417","0.159"
"9483","649.8056","0.174"
"9484","649.8694","0.170"
"9485","649.9653","0.167"
"9486","650.0292","0.130"
"9487","650.0932","0.189"
"9488","650.1732","0.156"
"9489","650.2534","0.174"
"9490","650.3011","0.174"
"9491","650.3972","0.174"
"9492","650.4451","0.141"
"9493","650.5089","0.185"
"9494","650.5730","0.126"
"9495","650.6369","0.178"
"9496","650.7010","0.156"
"9497","650.7649","0.181"
"9498","650.8608","0.156"
"9499","650.9091","0.137"
"9500","651.0049","0.200"
"9501","651.0526","0.144"
"9502","651.1486","0.170"
"9503","651.1967","0.148"
"9504","651.2765","0.133"
"9505","651.3088","0.167"
"9506","651.4044","0.174"
"9507","651.4690","0.156"
"9508","651.5324","0.170"
"9509","651.5964","0.133"
"9510","651.6603","0.211"
"9511","651.7563","0.107"
"9512","651.8042","0.189"
"9513","651.8682","0.130"
"9514","651.9482","0.193"
"9515","652.0282","0.152"
"9516","652.1081","0.181"
"9517","652.1561","0.115"
"9518","652.2520","0.222"
"9519","652.3000","0.115"
"9520","652.3960","0.163"
"9521","652.4439","0.230"
"9522","652.4759","0.115"
"9523","652.5719","0.126"
"9524","652.6358","0.189"
"9525","652.6998","0.185"
"9526","652.7638","0.119"
"9527","652.8278","0.211"
"9528","652.8917","0.167"
"9529","652.9877","0.144"
"9530","653.0677","0.163"
"9531","653.1156","0.211"
"9532","653.2116","0.141"
"9533","653.2596","0.174"
"9534","653.3236","0.163"
"9535","653.3875","0.189"
"9536","653.4515","0.152"
"9537","653.5154","0.204"
"9538","653.5794","0.130"
"9539","653.6753","0.193"
"9540","653.7393","0.167"
"9541","653.8033","0.189"
"9542","653.8833","0.167"
"9543","653.9313","0.193"
"9544","654.0272","0.156"
"9545","654.0752","0.196"
"9546","654.1711","0.207"
"9547","654.2192","0.185"
"9548","654.3151","0.170"
"9549","654.3631","0.185"
"9550","654.4112","0.196"
"9551","654.4751","0.189"
"9552","654.5391","0.163"
"9553","654.6031","0.174"
"9554","654.6991","0.163"
"9555","654.7632","0.189"
"9556","654.8589","0.159"
"9557","654.9069","0.156"
"9558","655.0030","0.193"
"9559","655.0348","0.159"
"9560","655.0988","0.189"
"9561","655.1627","0.163"
"9562","655.2267","0.193"
"9563","655.2907","0.174"
"9564","655.3867","0.111"
"9565","655.4668","0.193"
"9566","655.5146","0.319"
"9567","655.6105","0.052"
"9568","655.6585","0.107"
"9569","655.7384","0.333"
"9570","655.7704","-0.004"
"9571","655.8343","0.211"
"9572","655.9303","0.267"
"9573","655.9954","0.144"
"9574","656.0584","0.170"
"9575","656.1223","0.222"
"9576","656.2023","0.200"
"9577","656.2994","0.181"
"9578","656.3474","0.226"
"9579","656.4105","0.152"
"9580","656.4742","0.178"
"9581","656.5381","0.289"
"9582","656.6022","0.081"
"9583","656.6661","0.167"
"9584","656.7467","0.278"
"9585","656.8420","0.144"
"9586","656.8900","0.156"
"9587","656.9859","0.204"
"9588","657.0351","0.248"
"9589","657.0819","0.122"
"9590","657.1618","0.259"
"9591","657.2260","0.144"
"9592","657.2898","0.248"
"9593","657.3537","0.174"
"9594","657.4177","0.200"
"9595","657.5137","0.163"
"9596","657.5777","0.233"
"9597","657.6416","0.181"
"9598","657.7056","0.167"
"9599","657.7855","0.204"
