"Viewer version","2.91"
"Measure start time","25 July 2023 15:03:00"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"10720","734.6615","0.526"
"10721","734.7254","0.352"
"10722","734.8214","0.989"
"10723","734.8856","0.474"
"10724","734.9334","0.415"
"10725","735.0138","0.893"
"10726","735.1092","0.481"
"10727","735.1415","0.537"
"10728","735.2054","0.796"
"10729","735.2694","0.467"
"10730","735.3651","0.663"
"10731","735.4291","0.656"
"10732","735.4931","0.559"
"10733","735.5570","0.578"
"10734","735.6371","0.719"
"10735","735.7329","0.519"
"10736","735.7810","0.644"
"10737","735.8769","0.700"
"10738","735.9249","0.559"
"10739","735.9730","0.574"
"10740","736.0527","0.637"
"10741","736.1168","0.641"
"10742","736.1807","0.570"
"10743","736.2447","0.619"
"10744","736.3086","0.593"
"10745","736.3728","0.644"
"10746","736.4686","0.570"
"10747","736.5330","0.589"
"10748","736.5965","0.670"
"10749","736.6764","0.589"
"10750","736.7244","0.578"
"10751","736.8044","0.674"
"10752","736.8683","0.578"
"10753","736.9323","0.604"
"10754","736.9962","0.633"
"10755","737.0603","0.615"
"10756","737.1242","0.596"
"10757","737.2201","0.633"
"10758","737.2841","0.619"
"10759","737.3481","0.589"
"10760","737.4281","0.615"
"10761","737.4761","0.615"
"10762","737.5720","0.589"
"10763","737.6200","0.589"
"10764","737.7000","0.622"
"10765","737.7639","0.581"
"10766","737.8278","0.611"
"10767","737.8918","0.604"
"10768","737.9558","0.615"
"10769","738.0199","0.581"
"10770","738.0997","0.622"
"10771","738.1797","0.596"
"10772","738.2277","0.581"
"10773","738.3236","0.600"
"10774","738.3716","0.611"
"10775","738.4675","0.589"
"10776","738.5155","0.604"
"10777","738.6115","0.619"
"10778","738.6594","0.611"
"10779","738.7394","0.581"
"10780","738.7714","0.619"
"10781","738.8353","0.619"
"10782","738.9313","0.589"
"10783","738.9955","0.596"
"10784","739.0593","0.600"
"10785","739.1232","0.615"
"10786","739.1875","0.596"
"10787","739.2673","0.607"
"10788","739.3471","0.600"
"10789","739.3951","0.626"
"10790","739.4911","0.593"
"10791","739.5391","0.607"
"10792","739.6350","0.593"
"10793","739.6669","0.622"
"10794","739.7310","0.589"
"10795","739.8268","0.600"
"10796","739.8909","0.615"
"10797","739.9550","0.596"
"10798","740.0188","0.607"
"10799","740.0828","0.604"
"10800","740.1468","0.611"
"10801","740.2278","0.600"
"10802","740.3228","0.615"
"10803","740.3706","0.604"
"10804","740.4506","0.600"
"10805","740.4826","0.607"
"10806","740.5788","0.615"
"10807","740.6428","0.604"
"10808","740.7385","0.600"
"10809","740.7866","0.604"
"10810","740.8505","0.619"
"10811","740.9144","0.607"
"10812","740.9954","0.607"
"10813","741.0427","0.581"
"10814","741.1383","0.619"
"10815","741.1865","0.611"
"10816","741.2823","0.604"
"10817","741.3154","0.596"
"10818","741.3783","0.607"
"10819","741.4426","0.593"
"10820","741.5381","0.596"
"10821","741.6021","0.615"
"10822","741.6673","0.604"
"10823","741.7312","0.607"
"10824","741.7953","0.600"
"10825","741.8900","0.630"
"10826","741.9390","0.593"
"10827","742.0346","0.607"
"10828","742.0826","0.600"
"10829","742.1780","0.615"
"10830","742.2260","0.600"
"10831","742.3059","0.607"
"10832","742.3379","0.615"
"10833","742.4021","0.596"
"10834","742.4978","0.615"
"10835","742.5618","0.607"
"10836","742.6258","0.622"
"10837","742.6898","0.593"
"10838","742.7537","0.604"
"10839","742.8497","0.633"
"10840","742.9136","0.607"
"10841","742.9621","0.600"
"10842","743.0576","0.622"
"10843","743.1056","0.615"
"10844","743.2016","0.607"
"10845","743.2496","0.585"
"10846","743.3455","0.622"
"10847","743.3935","0.604"
"10848","743.4894","0.619"
"10849","743.5376","0.607"
"10850","743.5854","0.641"
"10851","743.6813","0.604"
"10852","743.7134","0.604"
"10853","743.7774","0.604"
"10854","743.8733","0.630"
"10855","743.9374","0.585"
"10856","744.0013","0.600"
"10857","744.0653","0.615"
"10858","744.1292","0.607"
"10859","744.1932","0.611"
"10860","744.2732","0.589"
"10861","744.3372","0.644"
"10862","744.4171","0.600"
"10863","744.5131","0.607"
"10864","744.5610","0.604"
"10865","744.6090","0.626"
"10866","744.7050","0.589"
"10867","744.7530","0.607"
"10868","744.8490","0.596"
"10869","744.8969","0.607"
"10870","744.9929","0.589"
"10871","745.0409","0.622"
"10872","745.1211","0.600"
"10873","745.1531","0.611"
"10874","745.2172","0.607"
"10875","745.3129","0.619"
"10876","745.3770","0.611"
"10877","745.4409","0.622"
"10878","745.5049","0.641"
"10879","745.5859","0.607"
"10880","745.6807","0.619"
"10881","745.7286","0.615"
"10882","745.7766","0.607"
"10883","745.8726","0.593"
"10884","745.9206","0.600"
"10885","745.9845","0.578"
"10886","746.0485","0.589"
"10887","746.1127","0.589"
"10888","746.1768","0.589"
"10889","746.2725","0.596"
"10890","746.3364","0.611"
"10891","746.4004","0.596"
"10892","746.4804","0.607"
"10893","746.5613","0.622"
"10894","746.6083","0.611"
"10895","746.7044","0.611"
"10896","746.7525","0.604"
"10897","746.8163","0.600"
"10898","746.8805","0.615"
"10899","746.9443","0.596"
"10900","747.0082","0.604"
"10901","747.0724","0.611"
"10902","747.1681","0.611"
"10903","747.2161","0.604"
"10904","747.2961","0.604"
