"Viewer version","2.91"
"Measure start time","25 July 2023 15:21:38"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"4367","299.5395","0.048"
"4368","299.5876","0.385"
"4369","299.6834","0.148"
"4370","299.7316","0.348"
"4371","299.7954","0.078"
"4372","299.8594","0.352"
"4373","299.9234","0.222"
"4374","299.9877","0.289"
"4375","300.0836","0.107"
"4376","300.1475","0.307"
"4377","300.2272","0.241"
"4378","300.2752","0.281"
"4379","300.3711","0.152"
"4380","300.4191","0.270"
"4381","300.5153","0.319"
"4382","300.5631","0.256"
"4383","300.6274","0.122"
"4384","300.6913","0.237"
"4385","300.7712","0.359"
"4386","300.8514","0.163"
"4387","300.8991","0.189"
"4388","300.9949","0.256"
"4389","301.0430","0.333"
"4390","301.1389","0.181"
"4391","301.1869","0.122"
"4392","301.2349","0.333"
"4393","301.2989","0.333"
"4394","301.3629","-0.078"
"4395","301.4272","0.478"
"4396","301.5227","0.067"
"4397","301.5707","0.363"
"4398","301.6667","0.130"
"4399","301.7147","0.319"
"4400","301.8106","0.141"
"4401","301.8586","0.333"
"4402","301.9546","0.193"
"4403","301.9866","0.233"
"4404","302.0508","0.241"
"4405","302.1148","0.270"
"4406","302.2109","0.200"
"4407","302.2749","0.196"
"4408","302.3384","0.304"
"4409","302.4184","0.185"
"4410","302.4985","0.296"
"4411","302.5464","0.167"
"4412","302.6423","0.322"
"4413","302.6902","0.159"
"4414","302.7382","0.330"
"4415","302.8182","0.104"
"4416","302.8822","0.322"
"4417","302.9462","0.167"
"4418","303.0101","0.352"
"4419","303.0741","0.159"
"4420","303.1700","0.289"
"4421","303.2501","0.204"
"4422","303.2980","0.344"
"4423","303.3940","0.093"
"4424","303.4420","0.341"
"4425","303.5379","0.185"
"4426","303.5859","0.281"
"4427","303.6179","0.174"
"4428","303.7138","0.285"
"4429","303.7778","0.252"
"4430","303.8418","0.211"
"4431","303.9058","0.296"
"4432","303.9698","0.196"
"4433","304.0337","0.233"
"4434","304.1297","0.259"
"4435","304.1937","0.244"
"4436","304.2577","0.211"
"4437","304.3217","0.200"
"4438","304.3857","0.252"
"4439","304.4658","0.248"
"4440","304.5615","0.156"
"4441","304.6096","0.304"
"4442","304.6898","0.159"
"4443","304.7219","0.278"
"4444","304.7859","0.174"
"4445","304.8814","0.289"
"4446","304.9454","0.122"
"4447","305.0093","0.337"
"4448","305.0733","0.193"
"4449","305.1373","0.241"
"4450","305.2013","0.163"
"4451","305.2976","0.304"
"4452","305.3775","0.148"
"4453","305.4255","0.241"
"4454","305.5212","0.174"
"4455","305.5692","0.300"
"4456","305.6331","0.204"
"4457","305.6971","0.252"
"4458","305.7610","0.248"
"4459","305.8250","0.193"
"4460","305.8890","0.241"
"4461","305.9851","0.252"
"4462","306.0330","0.248"
"4463","306.1131","0.148"
"4464","306.2089","0.296"
"4465","306.2568","0.219"
"4466","306.3370","0.248"
"4467","306.3690","0.130"
"4468","306.4328","0.341"
"4469","306.5287","0.178"
"4470","306.5926","0.252"
"4471","306.6568","0.156"
"4472","306.7209","0.330"
"4473","306.8169","0.119"
"4474","306.8645","0.248"
"4475","306.9605","0.211"
"4476","307.0087","0.281"
"4477","307.0886","0.130"
"4478","307.1205","0.278"
"4479","307.2167","0.211"
"4480","307.2803","0.259"
"4481","307.3443","0.130"
"4482","307.4084","0.267"
"4483","307.4725","0.252"
"4484","307.5362","0.215"
"4485","307.6322","0.193"
"4486","307.6961","0.219"
"4487","307.7442","0.296"
"4488","307.8401","0.204"
"4489","307.8720","0.252"
"4490","307.9680","0.181"
"4491","308.0322","0.333"
"4492","308.0959","0.174"
"4493","308.1600","0.263"
"4494","308.2239","0.185"
"4495","308.2879","0.296"
"4496","308.3838","0.222"
"4497","308.4478","0.244"
"4498","308.5277","0.148"
"4499","308.5757","0.311"
"4500","308.6717","0.185"
"4501","308.7196","0.267"
